コード,銘柄名,現在値,前日差額,前日比率,VWAP,当日出来高,5分前出来高,列2,20日平均出来高,RVOL,補正RVOL,判定,ボルト判定,ボルト回数,区分,A3,補正A3,ギャップ比,PER,営業PEG,PSR,ROE,営業利益率(予）,利益成長率,合計成長率,ネットキャッシュ率,信用倍率,配当,配当率,予想PER,52週高値乖離率
4274,細谷火工,1172,,9.9 ,1218 ,1882200 ,,,17945 ,#####,#####,,BOLT!,1 ,0,10,322 ,1.10 ,21.3,9.22 ,0.22 ,6.29 ,14.22 ,2.31 ,4.18 ,#DIV/0!,0,13,1.11%,#####,
6208,石川製作所,1855,,11.5 ,1898 ,4046700 ,,,40820 ,99.14 ,99.14 ,,BOLT!,1.00,0,15,457 ,1.00 ,18.07,-0.76 ,0.06 ,10.40 ,5.26 ,-23.66 ,-20.96 ,#DIV/0!,3.92,20,1.08%,#####,
7777,スリー・ディー・マトリックス,379,,10.8 ,374 ,10700000 ,,,1573945 ,6.80 ,6.80 ,🔥買い,BOLT!,1 ,0,75,205 ,2.84 ,30.56 ,1.32 ,0.44 ,24.25 ,12.31 ,23.13 ,46.07 ,22.8 ,0,0,0.00%,30.51 ,-52.21 
485A,パワーエックス,2145,,3.4 ,2181 ,22036200 ,,,5421935 ,4.06 ,4.06 ,,BOLT!,1 ,0,256,491 ,1.01 ,198.61 ,,1.29 ,19.18 ,,-100.00 ,7.25 ,2.7 ,925.7,0,0.00%,#####,-61.54 
436A,サイバーソリューションズ,1255,,8.1 ,1221 ,196100 ,,,54710 ,3.58 ,3.58 ,🔥買い,BOLT!,1 ,1,509,904 ,2.82 ,16.57 ,0.83 ,0.56 ,28.12 ,45.00 ,20.00 ,33.31 ,41.9 ,0,38,3.03%,16.58 ,-12.85 
4440,ヴィッツ,2624,,2.1 ,2827 ,5767900 ,,,1776620 ,3.25 ,3.25 ,,BOLT!,1 ,0,28,47 ,2.18 ,23.32,2.00 ,0.23 ,14.84 ,11.20 ,11.64 ,27.90 ,52.8 ,6.5,18,0.69%,0.00 ,52.56 
9692,シーイーシー,2106,,-7.5 ,2115 ,380400 ,,,127435 ,2.99 ,2.99 ,,BOLT!,1 ,0,69,110 ,2.28 ,10.82 ,0.81 ,0.11 ,14.23 ,11.80 ,13.35 ,20.33 ,39.9 ,4.94,85,4.04%,#####,
4026,神島化学,1560,,2.8 ,1534 ,186800 ,,,67320 ,2.77 ,2.77 ,,,,0,61,93 ,3.80 ,10.00 ,0.20 ,0.05 ,9.60 ,9.57 ,49.72 ,49.72 ,-24.4 ,8.01,49,3.14%,9.01 ,-27.37 
6324,ハーモニック・ドライブ・シス,5790,,-3.2 ,5821 ,2221100 ,,,1095920 ,2.03 ,2.03 ,,BOLT!,1 ,0,35,46 ,4.46 ,91.32,0.65 ,0.94 ,7.46 ,9.12 ,141.25 ,155.34 ,5.3 ,1.35,20,0.35%,,-36.72 
5032,ＡＮＹＣＯＬＯＲ,3115,,-3.9 ,3145 ,1247300 ,,,629940 ,1.98 ,1.98 ,🔥買い,,,0,356,461 ,1.91 ,13.62 ,1.72 ,0.34 ,50.81 ,36.15 ,7.92 ,16.18 ,75.4 ,7.54,62,1.99%,14.63 ,-36.43 
1605,ＩＮＰＥＸ,3930,,1.4 ,3959 ,9572900 ,,,4835315 ,1.98 ,1.98 ,🔥買い,BOLT!,1 ,0,339,439 ,0.93 ,8.90 ,,2.46 ,10.00 ,50.79 ,-15.79 ,-21.76 ,-13.8 ,14.5,112,2.85%,11.40 ,-20.69 
5631,日本製鋼所,6966,,1.9 ,6893 ,1572600 ,,,813920 ,1.93 ,1.93 ,,BOLT!,1.00,0,10,13 ,1.40 ,24.42,3.63 ,0.19 ,9.87 ,8.71 ,6.72 ,19.49 ,#DIV/0!,24.27,92,,#####,
5105,ＴＯＹＯＴＩＲＥ,3693,,0.2 ,3668 ,3000700 ,,,1592285 ,1.88 ,1.88 ,,BOLT!,1 ,0,142,180 ,1.03 ,7.33 ,,0.10 ,14.05 ,15.16 ,-3.49 ,0.73 ,6.3 ,26.09,135,3.66%,7.37 ,-23.93 
7649,スギホールディングス,1264,,-2.1 ,1269 ,3268600 ,,,1766485 ,1.85 ,1.85 ,,BOLT!,1 ,0,14,18 ,1.79 ,14.34,1.29 ,0.05 ,10.95 ,4.95 ,11.11 ,19.03 ,2.8 ,10.73,17.5,1.38%,15.04 ,-68.26 
5020,ＥＮＥＯＳホールディングス,1441,,-2.1 ,1445 ,13710800 ,,,7847480 ,1.75 ,1.75 ,,BOLT!,1 ,0,31,38 ,3.90 ,7.96 ,0.13 ,0.03 ,14.45 ,3.22 ,60.42 ,69.74 ,-19.2 ,14.71,36,2.50%,,-7.18 
9434,ソフトバンク,246.9,,1.5 ,245 ,#########,,,68012800 ,1.64 ,1.64 ,,BOLT!,1 ,0,38,45 ,1.39 ,19.13 ,3.32 ,0.17 ,23.37 ,14.67 ,5.77 ,12.30 ,,8.63,8.8,3.56%,19.08 ,3.87 
3491,ＧＡＴＥＣＨＮＯＬＯＧＩＥＳ,1447,,-3.0 ,1473 ,279800 ,,,172685 ,1.62 ,1.62 ,,BOLT!,1 ,0,34,40 ,3.74 ,10.87,0.27 ,0.02 ,16.56 ,3.10 ,40.85 ,70.62 ,,106,13,0.90%,,-19.21 
